"2007, 2012, 2017, 2022 Crosswalk for Census Industry Codes and NAICS Codes ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
9/9/2024,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Data user note: ,,,,,,,,,,,,,,
"Highlighted and bolded cells indicate where there was a change to the Census industry code, a change to the Census industry description and/or a change to the NAICS code. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2007 Census Industry Code,2007 NAICS Code,2007 Census Industry Description,,2012 Census Industry Code,2012 NAICS code,2012 Census Industry Description,,2017 Census Industry Code,2017 NAICS code,2017 Census Industry Description,,2022 Census Industry Code,2022 NAICS code,2022 Census Industry Description
3970,"33992, 33993","Sporting and athletic goods, and doll, toy and game manufacturing",,3970,"33992, 33993","Sporting and athletic goods, and doll, toy and game manufacturing",,3970,"33992, 33993","Sporting and athletic goods, and doll, toy and game manufacturing",,3970,"33992, 33993","Sporting and athletic goods, and doll, toy and game manufacturing"
3980,"3399 exc. 33992, 33993","Miscellaneous manufacturing, n.e.c.  ",,3980,"3399 exc. 33992, 33993","Miscellaneous manufacturing, n.e.c.  ",,3980,"3399 exc. 33992, 33993","Miscellaneous manufacturing, n.e.c.  ",,3980,"3399 exc. 33992, 33993","Miscellaneous manufacturing, n.e.c.  "
3990,"Part of 31, 32, 33",Not specified manufacturing industries,,3990,"Part of 31, 32, 33",Not specified manufacturing industries,,3990,"Part of 31, 32, 33",Not specified manufacturing industries,,3990,"Part of 31, 32, 33",Not specified manufacturing industries
4070,4231,"Motor vehicles, parts and supplies merchant wholesalers       ",,4070,4231,Motor vehicle and motor vehicle parts and supplies merchant wholesalers       ,,4070,4231,Motor vehicle and motor vehicle parts and supplies merchant wholesalers       ,,4070,4231,Motor vehicle and motor vehicle parts and supplies merchant wholesalers
4080,4232,Furniture and home furnishing merchant wholesalers   ,,4080,4232,Furniture and home furnishing merchant wholesalers   ,,4080,4232,Furniture and home furnishing merchant wholesalers   ,,4080,4232,Furniture and home furnishing merchant wholesalers   
4090,4233,Lumber and other construction materials merchant wholesalers ,,4090,4233,Lumber and other construction materials merchant wholesalers ,,4090,4233,Lumber and other construction materials merchant wholesalers ,,4090,4233,Lumber and other construction materials merchant wholesalers 
4170,4234,Professional and commercial equipment and supplies merchant wholesalers,,4170,4234,Professional and commercial equipment and supplies merchant wholesalers,,4170,4234,Professional and commercial equipment and supplies merchant wholesalers,,4170,4234,Professional and commercial equipment and supplies merchant wholesalers
4180,4235,"Metals and minerals, except petroleum, merchant wholesalers                         ",,4180,4235,"Metals and minerals, except petroleum, merchant wholesalers                         ",,4180,4235,"Metals and minerals, except petroleum, merchant wholesalers                         ",,4180,4235,"Metal and mineral, except petroleum, merchant wholesalers    "
4190,4236,Electrical and electronic goods merchant wholesalers ,,4195,4236,Household appliances and electrical and electronic goods merchant wholesalers,,4195,4236,Household appliances and electrical and electronic goods merchant wholesalers,,4195,4236,Household appliances and electrical and electronic goods merchant wholesalers
4260,4237,"Hardware, plumbing and heating equipment, and supplies merchant wholesalers",,4265,4237,"Hardware, plumbing and heating equipment, and supplies merchant wholesalers",,4265,4237,"Hardware, and plumbing and heating equipment, and supplies merchant wholesalers",,4265,4237,"Hardware, and plumbing and heating equipment, and supplies merchant wholesalers"
