gvkey,company_name,sector,sector_name,avg_MB,MB_sector_rank,MB_sector_percentile,sector_threshold_mb,market_cap,price,eps,data_source
15634,NATWEST GROUP PLC,40.0,Financials,0.0099672915801431,69.0,7.8677309007981755,0.017490186569697565,48079.32,11.92,0.4,Q1 Only
143153,SHORE BANCSHARES INC,40.0,Financials,0.0101800888293376,70.0,7.98175598631699,0.017490186569697565,451.88396,13.54,0.41,Q1 Only
183582,MERCHANTS & MARINE BANCORP,40.0,Financials,0.0102783338856374,71.0,8.095781071835804,0.017490186569697565,56.525000000000006,42.5,0.42,Q1 Only
29466,FIRST BANCSHARES INC/MO,40.0,Financials,0.0107886171073959,72.0,8.209806157354619,0.017490186569697565,61.05,25.0,0.71,Q1 Only
113339,UWHARRIE CAPITAL CORP,40.0,Financials,0.0110100628411848,73.0,8.323831242873432,0.017490186569697565,58.2622062,8.2501,0.34,Q1 Only
65162,LINKBANCORP INC,40.0,Financials,0.0116065189725766,74.0,8.437856328392247,0.017490186569697565,253.41606,6.78,0.41,Q1 Only
66313,OLD POINT FINANCIAL CORP,40.0,Financials,0.0116807995655374,75.0,8.551881413911062,0.017490186569697565,152.8437,29.94,0.42,Q1 Only
2002,POPULAR INC,40.0,Financials,0.0119839652302475,76.0,8.665906499429875,0.017490186569697565,6372.0520799999995,92.37,2.56,Q1 Only
32665,MERIDIAN CORP,40.0,Financials,0.0123701547030633,77.0,8.779931584948688,0.017490186569697565,162.50400000000002,14.4,0.21,Q1 Only
18182,FIDELITY D & D BANCORP INC,40.0,Financials,0.0129131231766194,78.0,8.893956670467503,0.017490186569697565,240.00648,41.61,1.04,Q1 Only
12035,RBB BANCORP,40.0,Financials,0.0132864019554048,79.0,9.007981755986318,0.017490186569697565,292.69350000000003,16.5,0.13,Q1 Only
158354,GENWORTH FINANCIAL INC,40.0,Financials,0.0132894254836343,80.0,9.122006841505131,0.017490186569697565,2948.5821100000003,7.09,0.14,Q1 Only
160423,BANKWELL FINANCIAL GROUP INC,40.0,Financials,0.0133939300095826,81.0,9.236031927023944,0.017490186569697565,238.05984,30.18,0.88,Q1 Only
66597,FIRST US BANCSHARES INC,40.0,Financials,0.0134707049984604,82.0,9.35005701254276,0.017490186569697565,76.67304,13.36,0.3,Q1 Only
143356,PRUDENTIAL FINANCIAL INC,40.0,Financials,0.0141756261785402,83.0,9.464082098061574,0.017490186569697565,39535.50176000001,111.68,1.97,Q1 Only
31358,FARMERS & MERCHANTS BANCORP,40.0,Financials,0.0163444731923667,84.0,9.578107183580387,0.017490186569697565,700.091,1000.13,32.88,Q1 Only
162825,HOME FEDERAL BANCORP INC/LA,40.0,Financials,0.016564803816508,85.0,9.692132269099202,0.017490186569697565,40.70295000000001,13.05,0.24,Q1 Only
144122,MVB FINANCIAL CORP,40.0,Financials,0.0168033971732831,86.0,9.806157354618016,0.017490186569697565,224.294,17.32,0.28,Q1 Only
17534,CNB FINANCIAL CORP/PA,40.0,Financials,0.0170091118937502,87.0,9.92018244013683,0.017490186569697565,466.805,22.25,0.5,Q1 Only
