Item Description,Unnamed: 1,Unnamed: 2,Balancing,Mnemonic,Data Group,Field Size,Data Type,Unnamed: 8,Data Code,Data Group.1,Field Size.1,Data Type.1,Unnamed: 13,Footnote Code,Data Group.2,Field Size.2,Data Type.2
Writedowns Diluted EPS Effect,,,Divide by Adjustment Factor,WDDQ,co_ifndq,"18,4",NUMBER,,WDDQ_DC,co_ifndq,2.0,NUMBER,,WDDQ_FN,co_ifntq,8.0,VARCHAR2
Extinguishment of Debt Pretax,,,,DTEPQ,co_ifndq,"18,4",NUMBER,,DTEPQ_DC,co_ifndq,2.0,NUMBER,,DTEPQ_FN,co_ifntq,8.0,VARCHAR2
Extinguishment of Debt After-tax,,,,DTEAQ,co_ifndq,"18,4",NUMBER,,DTEAQ_DC,co_ifndq,2.0,NUMBER,,DTEAQ_FN,co_ifntq,8.0,VARCHAR2
Extinguishment of Debt Basic EPS Effect,,,Divide by Adjustment Factor,DTEEPSQ,co_ifndq,"18,4",NUMBER,,DTEEPSQ_DC,co_ifndq,2.0,NUMBER,,DTEEPSQ_FN,co_ifntq,8.0,VARCHAR2
Extinguishment of Debt Diluted EPS Effect,,,Divide by Adjustment Factor,DTEDQ,co_ifndq,"18,4",NUMBER,,DTEDQ_DC,co_ifndq,2.0,NUMBER,,DTEDQ_FN,co_ifntq,8.0,VARCHAR2
In-Process Research & Development Pretax,,,,RDIPQ,co_ifndq,"18,4",NUMBER,,RDIPQ_DC,co_ifndq,2.0,NUMBER,,RDIPQ_FN,co_ifntq,8.0,VARCHAR2
In-Process Research & Development After-tax,,,,RDIPAQ,co_ifndq,"18,4",NUMBER,,RDIPAQ_DC,co_ifndq,2.0,NUMBER,,RDIPAQ_FN,co_ifntq,8.0,VARCHAR2
In-Process Research & Development Basic EPS Effect,,,Divide by Adjustment Factor,RDIPEPSQ,co_ifndq,"18,4",NUMBER,,RDIPEPSQ_DC,co_ifndq,2.0,NUMBER,,RDIPEPSQ_FN,co_ifntq,8.0,VARCHAR2
In-Process Research & Development Diluted EPS Effect,,,Divide by Adjustment Factor,RDIPDQ,co_ifndq,"18,4",NUMBER,,RDIPDQ_DC,co_ifndq,2.0,NUMBER,,RDIPDQ_FN,co_ifntq,8.0,VARCHAR2
Special Items - Other Pretax,,,,SPIOPQ,co_ifndq,"18,4",NUMBER,,SPIOPQ_DC,co_ifndq,2.0,NUMBER,,SPIOPQ_FN,co_ifntq,8.0,VARCHAR2
