Item Description,Unnamed: 1,Unnamed: 2,Balancing,Mnemonic,Data Group,Field Size,Data Type,Unnamed: 8,Data Code,Data Group.1,Field Size.1,Data Type.1,Unnamed: 13,Footnote Code,Data Group.2,Field Size.2,Data Type.2
Acquisition/Merger Basic EPS Effect,,,Divide by Adjustment Factor,AQEPS,co_afnd1,"18,4",NUMBER,,AQEPS_DC,co_afnddc1,2,NUMBER,,AQEPS_FN,co_afntind,8,VARCHAR2
Acquisition/Merger Diluted EPS Effect,,,Divide by Adjustment Factor,AQD,co_afnd1,"18,4",NUMBER,,AQD_DC,co_afnddc1,2,NUMBER,,AQD_FN,co_afntind,8,VARCHAR2
Gain/Loss on Sale of Assets Pretax,,,,GLP,co_afnd1,"18,4",NUMBER,,GLP_DC,co_afnddc1,2,NUMBER,,GLP_FN,co_afntind,8,VARCHAR2
Gain/Loss on Sale of Assets After-tax,,,,GLA,co_afnd1,"18,4",NUMBER,,GLA_DC,co_afnddc1,2,NUMBER,,GLA_FN,co_afntind,8,VARCHAR2
Gain/Loss on Sale of Assets Basic EPS Effect,,,Divide by Adjustment Factor,GLEPS,co_afnd1,"18,4",NUMBER,,GLEPS_DC,co_afnddc1,2,NUMBER,,GLEPS_FN,co_afntind,8,VARCHAR2
Gain/Loss on Sale of Assets Diluted EPS Effect,,,Divide by Adjustment Factor,GLD,co_afnd1,"18,4",NUMBER,,GLD_DC,co_afnddc1,2,NUMBER,,GLD_FN,co_afntind,8,VARCHAR2
Impairment of Goodwill Pretax,,,,GDWLIP,co_afnd1,"18,4",NUMBER,,GDWLIP_DC,co_afnddc1,2,NUMBER,,GDWLIP_FN,co_afntind,8,VARCHAR2
Impairment of Goodwill After-tax,,,,GDWLIA,co_afnd1,"18,4",NUMBER,,GDWLIA_DC,co_afnddc1,2,NUMBER,,GDWLIA_FN,co_afntind,8,VARCHAR2
Impairment of Goodwill Basic EPS Effect,,,Divide by Adjustment Factor,GDWLIEPS,co_afnd1,"18,4",NUMBER,,GDWLIEPS_DC,co_afnddc1,2,NUMBER,,GDWLIEPS_FN,co_afntind,8,VARCHAR2
Impairment of Goodwill Diluted EPS Effect,,,Divide by Adjustment Factor,GDWLID,co_afnd1,"18,4",NUMBER,,GDWLID_DC,co_afnddc1,2,NUMBER,,GDWLID_FN,co_afntind,8,VARCHAR2
Settlement (Litigation/Insurance) Pretax,,,,SETP,co_afnd2,"18,4",NUMBER,,SETP_DC,co_afnddc2,2,NUMBER,,SETP_FN,co_afntind,8,VARCHAR2
Settlement (Litigation/Insurance) After-tax,,,,SETA,co_afnd2,"18,4",NUMBER,,SETA_DC,co_afnddc2,2,NUMBER,,SETA_FN,co_afntind,8,VARCHAR2
Settlement (Litigation/Insurance) Basic EPS Effect,,,Divide by Adjustment Factor,SETEPS,co_afnd2,"18,4",NUMBER,,SETEPS_DC,co_afnddc2,2,NUMBER,,SETEPS_FN,co_afntind,8,VARCHAR2
Settlement (Litigation/Insurance) Diluted EPS Effect,,,Divide by Adjustment Factor,SETD,co_afnd2,"18,4",NUMBER,,SETD_DC,co_afnddc2,2,NUMBER,,SETD_FN,co_afntind,8,VARCHAR2
Restructuring Costs Pretax,,,,RCP,co_afnd2,"18,4",NUMBER,,RCP_DC,co_afnddc2,2,NUMBER,,RCP_FN,co_afntind,8,VARCHAR2
Restructuring Costs After-tax,,,,RCA,co_afnd2,"18,4",NUMBER,,RCA_DC,co_afnddc2,2,NUMBER,,RCA_FN,co_afntind,8,VARCHAR2
Restructuring Costs Basic EPS Effect,,,Divide by Adjustment Factor,RCEPS,co_afnd2,"18,4",NUMBER,,RCEPS_DC,co_afnddc2,2,NUMBER,,RCEPS_FN,co_afntind,8,VARCHAR2
Restructuring Costs Diluted EPS Effect,,,Divide by Adjustment Factor,RCD,co_afnd2,"18,4",NUMBER,,RCD_DC,co_afnddc2,2,NUMBER,,RCD_FN,co_afntind,8,VARCHAR2
Writedowns Pretax,,,,WDP,co_afnd2,"18,4",NUMBER,,WDP_DC,co_afnddc2,2,NUMBER,,WDP_FN,co_afntind,8,VARCHAR2
Writedowns After-tax,,,,WDA,co_afnd2,"18,4",NUMBER,,WDA_DC,co_afnddc2,2,NUMBER,,WDA_FN,co_afntind,8,VARCHAR2
Writedowns Basic EPS Effect,,,Divide by Adjustment Factor,WDEPS,co_afnd2,"18,4",NUMBER,,WDEPS_DC,co_afnddc2,2,NUMBER,,WDEPS_FN,co_afntind,8,VARCHAR2
Writedowns Diluted EPS Effect,,,Divide by Adjustment Factor,WDD,co_afnd2,"18,4",NUMBER,,WDD_DC,co_afnddc2,2,NUMBER,,WDD_FN,co_afntind,8,VARCHAR2
Extinguishment of Debt Pretax,,,,DTEP,co_afnd1,"18,4",NUMBER,,DTEP_DC,co_afnddc1,2,NUMBER,,DTEP_FN,co_afntind,8,VARCHAR2
Extinguishment of Debt After-tax,,,,DTEA,co_afnd1,"18,4",NUMBER,,DTEA_DC,co_afnddc1,2,NUMBER,,DTEA_FN,co_afntind,8,VARCHAR2
Extinguishment of Debt Basic EPS Effect,,,Divide by Adjustment Factor,DTEEPS,co_afnd1,"18,4",NUMBER,,DTEEPS_DC,co_afnddc1,2,NUMBER,,DTEEPS_FN,co_afntind,8,VARCHAR2
Extinguishment of Debt Diluted EPS Effect,,,Divide by Adjustment Factor,DTED,co_afnd1,"18,4",NUMBER,,DTED_DC,co_afnddc1,2,NUMBER,,DTED_FN,co_afntind,8,VARCHAR2
In-Process Research & Development Pretax,,,,RDIP,co_afnd2,"18,4",NUMBER,,RDIP_DC,co_afnddc2,2,NUMBER,,RDIP_FN,co_afntind,8,VARCHAR2
In-Process Research & Development After-tax,,,,RDIPA,co_afnd2,"18,4",NUMBER,,RDIPA_DC,co_afnddc2,2,NUMBER,,RDIPA_FN,co_afntind,8,VARCHAR2
In-Process Research & Development Basic EPS Effect,,,Divide by Adjustment Factor,RDIPEPS,co_afnd2,"18,4",NUMBER,,RDIPEPS_DC,co_afnddc2,2,NUMBER,,RDIPEPS_FN,co_afntind,8,VARCHAR2
In-Process Research & Development Diluted EPS Effect,,,Divide by Adjustment Factor,RDIPD,co_afnd2,"18,4",NUMBER,,RDIPD_DC,co_afnddc2,2,NUMBER,,RDIPD_FN,co_afntind,8,VARCHAR2
Special Items - Other Pretax,,,,SPIOP,co_afnd2,"18,4",NUMBER,,SPIOP_DC,co_afnddc2,2,NUMBER,,SPIOP_FN,co_afntind,8,VARCHAR2
Special Items - Other After-tax,,,,SPIOA,co_afnd2,"18,4",NUMBER,,SPIOA_DC,co_afnddc2,2,NUMBER,,SPIOA_FN,co_afntind,8,VARCHAR2
