Item Description,Unnamed: 1,Unnamed: 2,Balancing,Mnemonic,Data Group,Field Size,Data Type,Unnamed: 8,Data Code,Data Group.1,Field Size.1,Data Type.1,Unnamed: 13,Footnote Code,Data Group.2,Field Size.2,Data Type.2
Writedowns Diluted EPS Effect,,,Divide by Adjustment Factor,WDDSA,co_ifndsa,"18,4",NUMBER,,WDDSA_DC,co_ifndsa,2.0,NUMBER,,WDDSA_FN,co_ifntsa,8.0,VARCHAR2
Extinguishment of Debt Pretax,,,,DTEPSA,co_ifndsa,"18,4",NUMBER,,DTEPSA_DC,co_ifndsa,2.0,NUMBER,,DTEPSA_FN,co_ifntsa,8.0,VARCHAR2
Extinguishment of Debt After-tax,,,,DTEASA,co_ifndsa,"18,4",NUMBER,,DTEASA_DC,co_ifndsa,2.0,NUMBER,,DTEASA_FN,co_ifntsa,8.0,VARCHAR2
Extinguishment of Debt Basic EPS Effect,,,Divide by Adjustment Factor,DTEEPSSA,co_ifndsa,"18,4",NUMBER,,DTEEPSSA_DC,co_ifndsa,2.0,NUMBER,,DTEEPSSA_FN,co_ifntsa,8.0,VARCHAR2
Extinguishment of Debt Diluted EPS Effect,,,Divide by Adjustment Factor,DTEDSA,co_ifndsa,"18,4",NUMBER,,DTEDSA_DC,co_ifndsa,2.0,NUMBER,,DTEDSA_FN,co_ifntsa,8.0,VARCHAR2
In-Process Research & Development Pretax,,,,RDIPSA,co_ifndsa,"18,4",NUMBER,,RDIPSA_DC,co_ifndsa,2.0,NUMBER,,RDIPSA_FN,co_ifntsa,8.0,VARCHAR2
In-Process Research & Development After-tax,,,,RDIPASA,co_ifndsa,"18,4",NUMBER,,RDIPASA_DC,co_ifndsa,2.0,NUMBER,,RDIPASA_FN,co_ifntsa,8.0,VARCHAR2
In-Process Research & Development Basic EPS Effect,,,Divide by Adjustment Factor,RDIPEPSSA,co_ifndsa,"18,4",NUMBER,,RDIPEPSSA_DC,co_ifndsa,2.0,NUMBER,,RDIPEPSSA_FN,co_ifntsa,8.0,VARCHAR2
In-Process Research & Development Diluted EPS Effect,,,Divide by Adjustment Factor,RDIPDSA,co_ifndsa,"18,4",NUMBER,,RDIPDSA_DC,co_ifndsa,2.0,NUMBER,,RDIPDSA_FN,co_ifntsa,8.0,VARCHAR2
Special Items - Other Pretax,,,,SPIOPSA,co_ifndsa,"18,4",NUMBER,,SPIOPSA_DC,co_ifndsa,2.0,NUMBER,,SPIOPSA_FN,co_ifntsa,8.0,VARCHAR2
Special Items - Other After-tax,,,,SPIOASA,co_ifndsa,"18,4",NUMBER,,SPIOASA_DC,co_ifndsa,2.0,NUMBER,,SPIOASA_FN,co_ifntsa,8.0,VARCHAR2
Special Items - Other Basic EPS Effect,,,Divide by Adjustment Factor,SPIEPSSA,co_ifndsa,"18,4",NUMBER,,SPIEPSSA_DC,co_ifndsa,2.0,NUMBER,,SPIEPSSA_FN,co_ifntsa,8.0,VARCHAR2
Special Items - Other Diluted EPS Effect,,,Divide by Adjustment Factor,SPIDSA,co_ifndsa,"18,4",NUMBER,,SPIDSA_DC,co_ifndsa,2.0,NUMBER,,SPIDSA_FN,co_ifntsa,8.0,VARCHAR2
,,,,,, ,,,,,,,,,,,
Supplemental items,,,,,,,,,,,,,,,,,
,Foreign Exchange Adjustment,,,FCASA,co_ifndsa,"18,4",NUMBER,,FCASA_DC,co_ifndsa,2.0,NUMBER,,FCASA_FN1,co_ifntsa,8.0,VARCHAR2
,Goodwill Amortization,,,GDWLAMSA,co_ifndsa,"18,4",NUMBER,,GDWLAMSA_DC,co_ifndsa,2.0,NUMBER,,GDWLAMSA_FN1,co_ifntsa,8.0,VARCHAR2
